epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.6171,2.10667,3.36644,2.4097,0.26537,0.11111,0.09785,0.02681,2.41632,4.05032,2.94236,0.09208,8e-05,8e-05
2,60.0721,2.04551,2.87102,2.30962,0.15234,0.11111,0.07628,0.02409,3.20861,15.7797,3.7084,0.0831689,0.000168878,0.000168878
3,66.1205,2.12573,2.48624,2.36731,0.12299,0.08333,0.03433,0.00618,2.51391,9.57388,2.78165,0.0742566,0.000256568,0.000256568
4,71.4975,2.18406,2.60177,2.33928,0.05479,0.41667,0.03601,0.01043,2.55114,5.8771,2.59762,0.0653431,0.00034307,0.00034307
5,76.5462,1.98584,2.72955,2.22733,0.14112,0.25,0.11018,0.02944,2.71637,13.5456,2.7622,0.0564284,0.000428384,0.000428384
6,82.0707,2.01149,2.58118,2.26701,0.01686,0.33333,0.01537,0.00542,2.32306,84.5482,3.10786,0.0475125,0.00051251,0.00051251
7,86.5155,1.99411,2.53125,2.21411,0.33333,0.08333,0.10254,0.04948,2.50524,31.8741,3.9522,0.0385954,0.000595448,0.000595448
8,94.4588,2.12008,2.56306,2.42394,0.10237,0.11111,0.03445,0.00686,2.7251,14.9475,4.71467,0.0296772,0.000677198,0.000677198
9,99.1477,2.03098,2.54403,2.37653,0.12999,0.27778,0.10179,0.02357,2.90118,18.5068,4.79097,0.0207578,0.00075776,0.00075776
10,103.647,1.9606,2.38247,2.23484,0.06004,0.27778,0.05759,0.01885,2.67621,31.7434,4.40259,0.0118371,0.000837134,0.000837134
11,111.857,1.9882,2.27462,2.28399,0.04724,0.16667,0.03366,0.00885,2.95785,87.2547,5.3092,0.00291532,0.00091532,0.00091532
12,116.443,2.13102,2.67206,2.52036,0.10345,0.16667,0.06522,0.02273,2.4903,42.2916,4.12701,0.0009274,0.0009274,0.0009274
